No,Nama,Rating,Comments,Links
1,Logitech Z121 2.0 Stereo Speaker USB Compact,1,Suara nya kecil tidak ada bass nya,https://shopee.co.id/Logitech-Z121-2.0-Stereo-Speaker-USB-Compact-i.37146675.1258661141?sp_atk=f71f2217-a1ff-436f-828d-5201d10cdd6a&xptdk=f71f2217-a1ff-436f-828d-5201d10cdd6a
2,Logitech Z121 2.0 Stereo Speaker USB Compact,1,Di OFFICIAL STORE KOK CACAT BARANGNYA,https://shopee.co.id/Logitech-Z121-2.0-Stereo-Speaker-USB-Compact-i.37146675.1258661141?sp_atk=f71f2217-a1ff-436f-828d-5201d10cdd6a&xptdk=f71f2217-a1ff-436f-828d-5201d10cdd6a
3,Logitech Z121 2.0 Stereo Speaker USB Compact,1,Beli speaker malah dikirim mouse gmn sih,https://shopee.co.id/Logitech-Z121-2.0-Stereo-Speaker-USB-Compact-i.37146675.1258661141?sp_atk=f71f2217-a1ff-436f-828d-5201d10cdd6a&xptdk=f71f2217-a1ff-436f-828d-5201d10cdd6a
4,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,1,Sudah dibatalkan kok tetep dikirim,https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
5,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,1,"Barangnya pecah ,tidak ada suara ,setiap di nyalain seperti pada vidio.gak bisa.

",https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
6,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,1,Gak bisa nyala dan wktu di charge jga lampuny kedip2 nggk stay,https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
7,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-110,1,"dipake bentar udah copot sendiri tibaÂ², build quality jelek. Body full plastik. Subwoofer gada rasa. Mending nambah dikit, cari jbl go ori.. Produk juga ga support aux/audio out pake kabel. Overall berasa sama kaya speaker produk abal kw cina di pinggir jalan. Low latency jg hanya embelÂ².",https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
8,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-111,1,Asli nyesel beli ini. Mending beli speaker bluetooth abal2 suara mendem gak keluar. Volume udah full juga gak kenceng2 amat. Ada cacat pula produknya.,https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
9,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-112,1,"Setelah dicas berjam-jam, speaker sempet nyala sebentar, lalu tiba2 mati lagi. Saya udah complain dan minta ganti barang aja ke seller, tapi ga ada solusi yg pasti. Apa karna harga flash sale 100ribu-an jadi kualitas barang jelek yaa? So sad :( mohon maaf dg berat hati saya harus kasi bad review",https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
10,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,1,Baru 2 hari pakai udah ga ada suaranya sama sekali mati .,https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
11,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,1,"buruk, suara pelan hampir ga kedengeran",https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
12,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,1,Selama ini percaya klo produk advance bagus tapi ternyata kecewa deh,https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
13,ACOME Super Bass Speaker Bluetooth A1 A5 A10 A15 A16 A17 A20 5.2 10W High Power 3 Playback Modes,1,"Brang bru 5 hri udah mti,,,bru kli ini blanja produk online cacat ,,,dah gtu respon penjual minus",https://shopee.co.id/ACOME-Super-Bass-Speaker-Bluetooth-A1-A5-A10-A15-A16-A17-A20-5.2-10W-High-Power-3-Playback-Modes-Garansi-Resmi-1-Tahun-i.161425378.5862399082?sp_atk=44c60474-18be-4fdc-b460-df022f0fd83c&xptdk=44c60474-18be-4fdc-b460-df022f0fd83c
14,ACOME Super Bass Speaker Bluetooth A1 A5 A10 A15 A16 A17 A20 5.2 10W High Power 3 Playback Modes,1,"Packing rapi aman bagus tidak ada kerusakan atau penyok bgitu dibuka entah knapa barangnya yang pesok? Anehhh kan,dan nyalahin kurirnya lagi... Kalo misal penyok karna kurir packing dan kardus harusnya penyok dong.. Respon chat juga lemot...",https://shopee.co.id/ACOME-Super-Bass-Speaker-Bluetooth-A1-A5-A10-A15-A16-A17-A20-5.2-10W-High-Power-3-Playback-Modes-Garansi-Resmi-1-Tahun-i.161425378.5862399082?sp_atk=44c60474-18be-4fdc-b460-df022f0fd83c&xptdk=44c60474-18be-4fdc-b460-df022f0fd83c
15,ACOME Super Bass Speaker Bluetooth A1 A5 A10 A15 A16 A17 A20 5.2 10W High Power 3 Playback Modes,1,Baterai tidak tahan lama. Tidak ada penggunaan aja bisa turun dari 100% ke 90%. Penyelesaian masalah tidak memuaskan.,https://shopee.co.id/ACOME-Super-Bass-Speaker-Bluetooth-A1-A5-A10-A15-A16-A17-A20-5.2-10W-High-Power-3-Playback-Modes-Garansi-Resmi-1-Tahun-i.161425378.5862399082?sp_atk=44c60474-18be-4fdc-b460-df022f0fd83c&xptdk=44c60474-18be-4fdc-b460-df022f0fd83c
16,Logitech Z121 2.0 Stereo Speaker USB Compact,2,"Ok terus.., packing barang bagus...,  harga mudah mudahan bisa turun lagi, dan bisa lebih murah",https://shopee.co.id/Logitech-Z121-2.0-Stereo-Speaker-USB-Compact-i.37146675.1258661141?sp_atk=f71f2217-a1ff-436f-828d-5201d10cdd6a&xptdk=f71f2217-a1ff-436f-828d-5201d10cdd6a
17,Logitech Z121 2.0 Stereo Speaker USB Compact,2,"Seller slow respond. Hampir tidak menanggapi chat. Pengiriman lama banget. Ga ada kwitansi dan kartu garansi, dus penyok tapi barang berfungsi dengan baik. Semoga awet. Tolong perbaiki respond dan kecepatan pengirimannya.",https://shopee.co.id/Logitech-Z121-2.0-Stereo-Speaker-USB-Compact-i.37146675.1258661141?sp_atk=f71f2217-a1ff-436f-828d-5201d10cdd6a&xptdk=f71f2217-a1ff-436f-828d-5201d10cdd6a
18,Logitech Z121 2.0 Stereo Speaker USB Compact,2,"Pesan hari sabtu, dikirim hari selasa, kelamaan. Produk original. Kualitas produk oke. Mohon ditingkatkan pelayanan",https://shopee.co.id/Logitech-Z121-2.0-Stereo-Speaker-USB-Compact-i.37146675.1258661141?sp_atk=f71f2217-a1ff-436f-828d-5201d10cdd6a&xptdk=f71f2217-a1ff-436f-828d-5201d10cdd6a
19,Logitech Z121 2.0 Stereo Speaker USB Compact,2,"Kualitas sudah baik, produk sudah baik, kecepatan pengiriman sangat tidak baik.",https://shopee.co.id/Logitech-Z121-2.0-Stereo-Speaker-USB-Compact-i.37146675.1258661141?sp_atk=f71f2217-a1ff-436f-828d-5201d10cdd6a&xptdk=f71f2217-a1ff-436f-828d-5201d10cdd6a
20,Logitech Z121 2.0 Stereo Speaker USB Compact,2,"Speaker kiri mati, segel sudah terbuka",https://shopee.co.id/Logitech-Z121-2.0-Stereo-Speaker-USB-Compact-i.37146675.1258661141?sp_atk=f71f2217-a1ff-436f-828d-5201d10cdd6a&xptdk=f71f2217-a1ff-436f-828d-5201d10cdd6a
21,Logitech Z121 2.0 Stereo Speaker USB Compact,2,"Sorry to say, Mendem pdhl udh di max jg tetep tak terasa malah lebih bagus suara dr laptopnya, kabel ribet musti ada ke usb. Direntang harga normal yg sama byk yg lbh oke.mgkn beda kalo diflash salein jd <50rb bs dpt 5 star.ga bs cancel tuk ganti rincian, pdhl blum dkemas.terlalu kaku sistemnya.",https://shopee.co.id/Logitech-Z121-2.0-Stereo-Speaker-USB-Compact-i.37146675.1258661141?sp_atk=f71f2217-a1ff-436f-828d-5201d10cdd6a&xptdk=f71f2217-a1ff-436f-828d-5201d10cdd6a
22,Logitech Z121 2.0 Stereo Speaker USB Compact,2,Secara bentukan bagus. Cantik warna putih. Tp trnyta setelah dicoba ga bagus. Volume uda maksimal tapi kurang keras. Selain itu hrus menancap kabel usb dan kabel speaker. Terlalu ribet menurut saya. Sayang sekali,https://shopee.co.id/Logitech-Z121-2.0-Stereo-Speaker-USB-Compact-i.37146675.1258661141?sp_atk=f71f2217-a1ff-436f-828d-5201d10cdd6a&xptdk=f71f2217-a1ff-436f-828d-5201d10cdd6a
23,Logitech Z121 2.0 Stereo Speaker USB Compact,2,suara nya agak beda kurang kenceng jadi sedikit ragu asli atau tidak dan segel kotak terbuka namun packingan barang sangat bagus,https://shopee.co.id/Logitech-Z121-2.0-Stereo-Speaker-USB-Compact-i.37146675.1258661141?sp_atk=f71f2217-a1ff-436f-828d-5201d10cdd6a&xptdk=f71f2217-a1ff-436f-828d-5201d10cdd6a
24,Logitech Z121 2.0 Stereo Speaker USB Compact,2,Kecepatan pengiriman kurang baik sama segel kardus sudah di buka,https://shopee.co.id/Logitech-Z121-2.0-Stereo-Speaker-USB-Compact-i.37146675.1258661141?sp_atk=f71f2217-a1ff-436f-828d-5201d10cdd6a&xptdk=f71f2217-a1ff-436f-828d-5201d10cdd6a
25,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,BesokÂ² tlong di cek kembali yaa . Baru pemakaian 1 Minggu sudah rusak tibaÂ² cara pemakaian ikutin aturan nya di chas dahulu baru di pakai,https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
26,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,"Parah banget dapet barang yang cacat suaranya putus-putus lg denger lagu dan nonton dilaptop, udh dicharge, udh ikutin petunjuk pemakaian awal. Kirim pengembalian barang, udh nyampe gudang dibalikin gak mau dibalikin uangnya! Padahal video2 yg saya kirim udh banyak yg buktiin barangnya rusak. Super kecewa",https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
27,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,Produk tidak dapat digunakan atau rusak,https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
28,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,"Packaging nya sangat tidak niat mulai dari kardus sampai dalam kardusnya. Tidak ada bubble wrap atau dilapisin lagi, seperti barang bekas. Kualitas speaker wajar dengan harganya. Dan tidak ada kartu garansi, padahal garansinya 1 tahun.",https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
29,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,Beli dua barangnya cuma dikirim satu tapi begitulah untung responnya ada tapi itu juga agak slowrespon sih tapi ya udahlah nnti klau mmg barangnya dikirimin lagi artinya nnti aku ubah penilaiannya untuk sekarang bintang segini dlu tp kalu dk sesuai bintangnya mohon maaf pasti gak keubah,https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
30,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,"pas nyampe penyok, mau nuker tapi males ribet. mudahan bisa di perbaiki dalam packing pengiriman",https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
31,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,Sudah saya charger kurang lebih 1.5jam . Gamau nyala. Saya coba nyalain waktu di charger juga cuma beep aja. Gabisa repair..,https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
32,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,"pas terima sudah pecah gini , huh",https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
33,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,"Suaranya sember ,, dan tidak terdapat tombol volume di speaker , sangat aneh",https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
34,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-110,2,"Low latency nyaaa parah, ada suara kresek"" nyaa wlopun dgn harga sgitu tp kalau speaker nya tdk jernih sama aja boong, tp untuk build quality bguss",https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
35,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-111,2,Lain kali di cek lagi barang yg mo dikirim nya... Jd pelanggan nya ga kecewa...,https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
36,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-112,2,"Kecewa sangat,sudah di chat tapi tetep yg dateng merek lain,kurang amanah",https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
37,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-113,2,"Diiklannya olike ..hebatnya trik penjual kemasan pertama beneran olike,tapi ternyata barang yg dikasih tipe oase,walau saya tahu itu rebranding dr olike,tapi jelas beda.kualitas barang jg biasa ajh,harga segitu emang ga bisa berharap banyak,jgn mimpi kl bakal terdengar bass yg mantap.",https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
38,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-114,2,Barang tak sesuai gambar ada tulisan Olike. Merk malah oase. Tp kalo suara ya harga promo 99rb ya sesuailah biasa aja.,https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
39,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-115,2,"Review pertama: Built qualitynya cukup baik, modelnya keren, warna bagus, suara oke2 aja utk harga semurah ini. Jgn dibandingin sm yg harganya jauh lbh mahal, jelas beda kelas. Setelah 1 jam pake: Mau di charge, tp dudukan chargenya malah mendem ke dalam dan akhirnya lepas. Maaf, not recommended",https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
40,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-116,2,"sangat tidak rekomed bgt,,, pesenya apa d kasihnya merek apa",https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
41,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-117,2,Ko barang yg di kirim ga sesuai yg di gambar ya..pesan OLIKE yg datang OASE ,https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
42,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-118,2,"packing barang terlalu lama dan tidak sesuai expectasi, suara mono & bassnya tidak terdengar",https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
43,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,"Hadeh dateng kaya gini, untung rusaknya dikit",https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
44,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,kecewa Aduh lampu Nya tuh,https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
45,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,Suara gass bocor jadi kurang enak didengar,https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
46,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,"suara cempreng, ya sesuai harga, berharap dari testimoni sebelumnya ada bassnya",https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
47,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,"Speakernya mendesis selalu, suaranya hampir kalah dengan desisan speaker.",https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
48,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,sebelah doang yg nyala sebelah nya kaga,https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
49,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,"Lumayan tapi gabisa ke laptop, dimasukin ga ada suaranya ga muncul muncul",https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
50,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,"Sementara tak kasih nilai bintang 2,,, soalnya pesen 2 dikirim 1,,,baru konfirmasi sama adminnya semoga diganti",https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
51,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,Tidak berfungsi,https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
